#version 1.0
#Date 11-13-2017
1-Oct	mitochondrial intermediate peptidase
mms4	MMS4 protein
mms19	DNA repair/transcription protein mms19
mms19_0	MMS19 nucleotide excision repair
mms19_1	MMS19 nucleotide excision repair
mmsA	methylmalonate-semialdehyde dehydrogenase (acylating)
mnaT	L-amino acid N-acyltransferase MnaT
mnd1_0	Meiotic nuclear division protein 1
mnd1_1	Meiotic nuclear division protein 1
mndA1	beta-mannosidase
mndA3	beta-mannosidase
mndB	Beta-mannosidase B
mnmA	tRNA-specific 2-thiouridylase MnmA
mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
mnp1	manganese peroxidase 1
mnp2	manganese peroxidase
mnp3_0	Manganese peroxidase 3
mnp3_1	Manganese peroxidase 3
mnp3_2	Manganese peroxidase 3
mnp3_3	Manganese peroxidase 3
mnp3_4	Manganese peroxidase 3
mnp3_5	Manganese peroxidase 3
mnp5	manganese peroxidase 5
mnp6	manganese peroxidase
mnp7	manganese peroxidase
mns1	mannosyl-oligosaccharide 1,2-alpha-mannosidase
mns1B_0	Mannosyl-oligosaccharide alpha-1,2-mannosidase 1B
mnsod1	manganese and iron superoxide dismutase 1
mnsod2	manganese superoxide dismutase 2
mnsod3	manganese superoxide dismutase 3
mnsod4	manganese and iron superoxide dismutase 4
moa1	meiotic cohesin complex associated protein Moa1
mob1	Sid2-Mob1 kinase complex regulatory subunit Mob1
mob1-2	Mob1 family protein
mob2	Maintenance of ploidy protein mob2
mob-1	protein kinase regulator
mob-2a	MOB-2A, variant 2
mob-2b	protein kinase activator
mobA_0	3-hydroxybenzoate 4-monooxygenase
mobA_1	3-hydroxybenzoate 4-monooxygenase
moc3	transcription factor Moc3
mocs2	Molybdopterin synthase sulfur carrier subunit
mocs3	Adenylyltransferase and sulfurtransferase MOCS3
mod5	Tea1 anchoring protein Mod5
mod21	gamma tubulin complex subunit Mod21
modA	Neutral alpha-glucosidase AB
moe1	translation initiation factor eIF3d Moe1
mof	Males-absent on the first protein
mog1	Ran GTPase binding protein Mog1
mok11	alpha-1,3-glucan synthase Mok11
mok12	alpha-1,3-glucan synthase Mok12
mok13	alpha-1,3-glucan synthase Mok13
mok14	alpha-1,4-glucan synthase Mok14
mon1	Vacuolar fusion protein mon1
monA	Fatty acid synthase subunit beta
monB	Fatty acid synthase subunit alpha
mor2	morphogenesis protein Mor2
mox1	monooxygenase
mox3	monooxygenase-like protein
mox4	FAD-binding monooxygenase-like protein
mox5.1	monooxygenase-like protein
mox5.2	monooxygenase-like protein
mox6	flavin-dependent monooxygenase-like protein
mox7	monooxygenase-like protein
mox8	monooxygenase-like protein
mpd	Mannitol-1-phosphate 5-dehydrogenase
mpd1	Mannitol-1-phosphate 5-dehydrogenase
mpd2	GYF domain protein
mpdA	mannitol-1-phosphate 5-dehydrogenase
mpf1	meiotic PUF family protein 1
mpg1	mannose-1-phosphate guanyltransferase
mpg1_0	Mannose-1-phosphate guanyltransferase
mpg1_1	Mannose-1-phosphate guanyltransferase
mpg-1	Mannose-1-phosphate guanyltransferase
mph1	dual specificity protein kinase Mph1
mph1_0	ATP-dependent DNA helicase mph1
mph1_1	Serine/threonine-protein kinase mph1
mpkA	mitogen-activated protein kinase
mpkC	putative protein similar to MpkCp (Eurofung)
mpnd	MPN domain-containing protein
mpp	Mitochondrial-processing peptidase subunit alpha
mpr1	histidine-containing response regulator phosphotransferase Mpr1
mra1	Ribosomal RNA small subunit methyltransferase mra1
mrb1	meiotic RNA-binding protein 1
mrc1	mediator of replication checkpoint 1
mrck-1	Serine/threonine-protein kinase mrck-1
mrd1	Multiple RNA-binding domain-containing protein 1
mrd-1	Multiple RNA-binding domain-containing protein 1
mre11	MRE11 protein
mrh4	ATP-dependent RNA helicase mrh4, mitochondrial
mrh-4	ATP-dependent RNA helicase mrh-4 mitochondrial
mri1	S-methyl-5-thioribose-1-phosphate isomerase
mrm1	rRNA methyltransferase 1, mitochondrial
mro	Aldose 1-epimerase
mrp4	37S ribosomal protein mrp4, mitochondrial
mrp10	37S ribosomal protein mrp10, mitochondrial
mrp20	54S ribosomal protein L23, mitochondrial
mrp51	37S ribosomal protein mrp51 mitochondrial
mrp-3	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
mrp-9	37S ribosomal protein S9, mitochondrial
mrpl3	54S ribosomal protein L3 mitochondrial
mrpl4	54S ribosomal protein L4, mitochondrial
mrpl8	54S ribosomal protein L8, mitochondrial
mrpl16_0	54S ribosomal protein L16, mitochondrial
mrpl16_1	54S ribosomal protein L16, mitochondrial
mrpl19	54S ribosomal protein L19 mitochondrial
mrpl24	54S ribosomal protein L24, mitochondrial
mrpl27	54S ribosomal protein L27, mitochondrial
mrpl28	54S ribosomal protein L28, mitochondrial
mrpl31	54S ribosomal protein L31 mitochondrial
mrpl37	54S ribosomal protein L37, mitochondrial
mrpl38	54S ribosomal protein L38, mitochondrial
mrpl39	54S ribosomal protein L39, mitochondrial
mrpl51	54S ribosomal protein L51, mitochondrial
mrt4	Ribosome assembly factor mrt4
msa1	RNA-binding protein Msa1
msaD	4-oxalocrotonate tautomerase
msbA_0	Lipid A export ATP-binding/permease protein MsbA
msbA_1	Lipid A export ATP-binding/permease protein MsbA
msbA_2	Lipid A export ATP-binding/permease protein MsbA
msbA_3	Lipid A export ATP-binding/permease protein MsbA
msbA_4	Lipid A export ATP-binding/permease protein MsbA
msbA_5	Lipid A export ATP-binding/permease protein MsbA
msc1	multi-copy suppressor of Chk1
msc7	MSC7 protein
mscA	2-methylcitrate synthase
msd1	mitotic-spindle disanchored Msd1
msf1	member of the major facilitator superfamily
msf2	major facilitator superfamily protein
msh1	MutS protein 1
msh2	MSH2 protein
msh3	MSH3 protein
msh4	mutS ortholog 4 protein
msh5	MSH5 protein
msh6	DNA mismatch repair protein
msh56	MSH6 protein
msh-2	DNA mismatch repair protein msh-2
msk1	Lysine--tRNA ligase mitochondrial
msn-1	cutinase G-box binding protein
msp1	mitochondrial dynamin family GTPase Msp1
msp1_0	Protein msp1, mitochondrial
msp1_1	Protein msp1, mitochondrial
msp1_2	Dye-decolorizing peroxidase msp1
msp1_3	Dye-decolorizing peroxidase msp1
msp2_0	Peroxidase 2
msp2_1	Peroxidase 2
mss4	phosphatidylinositol-4-phosphate 5-kinase its3
mss51	Protein mss51
mss116	ATP-dependent RNA helicase
mst1	KAT5 family histone acetyltransferase Mst1
mst2	histone acetyltransferase Mst2
mstA	high affinity monosaccharide transporter
msta	Protein msta, isoform A
msw1	Tryptophan--tRNA ligase, mitochondrial
mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase
mtd1	Methylenetetrahydrofolate dehydrogenase [NAD(+)]
mtd1_0	Methylenetetrahydrofolate dehydrogenase [NAD(+)]
mtd1_1	Methylenetetrahydrofolate dehydrogenase [NAD(+)]
mtdH	NADP-dependent mannitol dehydrogenase
mtf1	mitochondrial RNA polymerase specificity factor Mtf1
mtg1	Mitochondrial GTPase 1
mtlD	Mannitol-1-phosphate 5-dehydrogenase
mtn1	Mutanase
mtnA	S-methyl-5-thioribose-1-phosphate isomerase
mtnK	Methylthioribose kinase
mto1	MT organizer Mto1
mto2	MT organizer Mto2
mtp-18	Mitochondrial fission process protein 1
mtq2	eRF1 methyltransferase catalytic subunit mtq2
mtr	N-amino acid transport system protein
mtr4	ATP-dependent RNA helicase, TRAMP complex subunit Mtr4
mtr4_0	ATP-dependent RNA helicase mtr4
mtr4_1	ATP-dependent RNA helicase mtr4
mtr_0	N amino acid transport system protein
mtr_1	N amino acid transport system protein
mts2	26S protease regulatory subunit 4 homolog
mts4	19S proteasome regulatory subunit Mts4
mtx3	Metaxin-3
mud1	UBA domain protein Mud1
mug4	sequence orphan
mug5	meiotically upregulated gene Mug5
mug8	conserved fungal protein
mug9	conserved fungal protein
mug14	Meiotically up-regulated protein 14 protein
mug14_0	Meiotically up-regulated gene 14 protein
mug14_1	Meiotically up-regulated protein 14
mug14_2	Meiotically up-regulated protein 14
mug15	sequence orphan
mug16	Protein GMH1 homolog
mug20	sequence orphan
mug24	RNA-binding protein, rrm type
mug27	meiosis specific protein kinase Mug27/Slk1
mug28	RNA-binding protein Mug28
mug33	conserved fungal protein
mug35	sequence orphan
mug37	sequence orphan
mug40	DNA polymerase kappa
mug42	sequence orphan
mug45	sequence orphan
mug51	variant protein kinase 19 family protein
mug55	Cdc20/Fizzy subfamily WD repeat protein
mug57	meiotically upregulated gene Mug57
mug60	Meiotically up-regulated gene 60 protein
mug63	TLDc domain protein 1
mug65	Meiotically up-regulated gene 65 protein
mug66	Meiotically up-regulated gene 66 protein
mug68	sequence orphan
mug70	Meiotically up-regulated protein 70
mug74	sequence orphan
mug80	Meiotically up-regulated protein 80
mug80_0	Meiotically up-regulated gene 80 protein
mug80_1	Meiotically up-regulated gene 80 protein
mug84	Meiotically up-regulated gene 84 protein
mug86	Meiotically up-regulated protein 86 protein
mug87	Meiotically up-regulated gene 87 protein
mug87_0	Meiotically up-regulated gene 87 protein
mug87_1	Meiotically up-regulated gene 87 protein
mug89_0	Meiotically up-regulated gene 89 protein
mug89_1	Meiotically up-regulated gene 89 protein
mug89_2	Meiotically up-regulated gene 89 protein
mug93	TPR repeat protein, meiotically spliced
mug94	sequence orphan
mug95	sequence orphan
mug96	sequence orphan
mug97	meiotically upregulated gene Mug97
mug98	sequence orphan
mug99	meiotically upregulated gene Mug99
mug100	sequence orphan
mug103	sequence orphan
mug106	sequence orphan
mug108	sequence orphan
mug110	sequence orphan
mug111	sequence orphan
mug112	dubious
mug113	T5orf172 family protein
mug114	sequence orphan
mug115	sequence orphan
mug116	sequence orphan
mug117	meiotically upregulated gene Mug117
mug121	sequence orphan
mug122	PX/PXA domain protein
mug123	meiotically upregulated gene Mug123
mug124	sequence orphan
mug125	sequence orphan
mug126	sequence orphan
mug128	sequence orphan
mug129	sequence orphan
mug130	sequence orphan
mug137	BAR adaptor protein
mug143	sequence orphan
mug146	meiotically upregulated gene Mug46
mug147	sequence orphan
mug150	sequence orphan
mug151	Meiotically up-regulated protein 151
mug153	sequence orphan
mug154	Meiotically up-regulated protein 154
mug155	dubious
mug157	meiotically up-regulated gene 157 protein
mug157_1	Meiotically up-regulated protein 157
mug157_2	Meiotically up-regulated protein157
mug157_3	Meiotically up-regulated protein157
mug158	Meiotically up-regulated protein 158
mug158_0	Meiotically up-regulated gene 158 protein
mug158_1	Meiotically up-regulated gene 158 protein
mug160	human ATXN10 ortholog, implicated in amino acid biosynthesis
mug162	sequence orphan
mug163	sequence orphan
mug164	microtubule-associated protein Mug164
mug165	sequence orphan
mug166	sequence orphan
mug168	sequence orphan
mug170	arrestin
mug174	meiotically upregulated gene Mug174
mug176	BRCT domain protein
mug177	sequence orphan
mug179	WD repeat protein involved in autophagy Atg18b
mug182	Meiotically up-regulated gene 182 protein
mug184	meiotically upregulated gene Mug184
mug190	C2 domain protein
murQ	N-acetylmuramic acid 6-phosphate etherase
mus7	DNA repair protein Mus7/Mms22
mus8	ubiquitin-conjugating enzyme E2 2
mus38	DNA repair protein
mus81	Holliday junction resolvase subunit Mus81
mus-9	phosphatidyl inositol 3-kinase
mus-10	mutagen sensitive-10 protein
mus-11	double strand break repair protein mus-11
mus-18	UV-damage endonuclease
mus-21	mutagen sensitive-21 protein
mus-23	Double-strand break repair protein mus-23
mus-25	DNA repair and recombination protein RAD54
mus-26	MUS26
mus-27	chromosome segregation protein
mus-38	MUS38
mus-40	DNA excision repair protein Rad2
mus-41	DNA repair protein rad-5
mus-42	REV1
mus-43	DNA repair protein rad14
mus-44	mating-type switching protein swi10
mus-50	UvrD/REP helicase
mus-51	Ku70/Ku80 family protein
mus-52	Ku70/Ku80 family protein
mus-53	DNA repair and recombination protein MUS53
mus-59	serine/threonine-protein kinase
mutL	DNA mismatch repair protein MutL
mvaB	Hydroxymethylglutaryl-CoA lyase
mvaD	diphosphomevalonate decarboxylase
mvp1_0	Sorting nexin mvp1
mvp1_1	Sorting nexin mvp1
mvp1_2	Sorting nexin mvp1
mvp1_3	Sorting nexin mvp1
mvp-1_1	Sorting nexin mvp-1
mvp-1_2	Sorting nexin mvp-1
mx2	Interferon-induced GTP-binding protein Mx2
mx_0	Interferon-induced GTP-binding protein Mx
mx_1	Interferon-induced GTP-binding protein Mx
mx_2	Interferon-induced GTP-binding protein Mx
mybA	Myb-like protein A
mybL	Myb-like protein L
mybL_0	Myb-like protein L
mybL_1	Myb-like protein L
myb_0	Transcriptional activator Myb
myb_1	Transcriptional activator Myb
myb_2	Transcriptional activator Myb
mybl2	Myb-related protein B
myh1	adenine DNA glycosylase Myh1
myo1	myosin type I
myo2	myosin II heavy chain
myo51	myosin type V
myo52	myosin type V
myo-1	Myosin-1
myoA	Myosin-1
myp2	myosin II heavy chain Myo3
mysm1_0	Histone H2A deubiquitinase MYSM1
mysm1_1	Histone H2A deubiquitinase MYSM1
mzt1	Mitotic-spindle organizing protein 1
naa25	NatB N-acetyltransferase complex regulatory subunit Naa25
naa35	N-alpha-acetyltransferase 35, NatC auxiliary subunit
naa38-a	N-alpha-acetyltransferase 38-A, NatC auxiliary subunit
naa40	N-alpha-acetyltransferase 40
nac	GDP-fucose transporter 1
naca	Nascent polypeptide-associated complex subunit alpha
nad1	NADH:ubiquinone oxidoreductase subunit 1
nad1-0	NADH dehydrogenase subunit 1
nad1-1	NADH dehydrogenase subunit 1
nad1-i1	GIY-YIG intron encoded protein
nad2	NADH dehydrogenase subunit 2
nad2-i1	LAGLIDADG intron encoded protein
nad2_2	NADH dehydrogenase subunit 2
nad3	NADH:ubiquinone oxidoreductase subunit 3
nad4-0	NADH dehydrogenase subunit 4
nad4L	NADH dehydrogenase subunit 4L
nad4_2	NADH dehydrogenase subunit 4
nad4_3	NADH dehydrogenase subunit 4
nad4_4	NADH dehydrogenase subunit 4
nad5	NADH:ubiquinone oxidoreductase subunit 5
nad5_2	NADH dehydrogenase subunit 5
nad5_3	NADH dehydrogenase subunit 5
nad5_5	NADH dehydrogenase subunit 5
nad6	NADH dehydrogenase subunit 6
nadC	nicotinate-nucleotide diphosphorylase (carboxylating)
nadD	nicotinate (nicotinamide) nucleotide adenylyltransferase
nae1	NEDD8-activating enzyme E1 regulatory subunit
naf1	H/ACA ribonucleoprotein complex non-core subunit NAF1
naf-1	nucleosome assembly protein
naf-2	nucleosome assembly factor-2
nag1	glycoside hydrolase family 20
nag2	glycoside hydrolase family 20, chitinase
nagB	Glucosamine-6-phosphate deaminase
nagD_0	Ribonucleotide monophosphatase NagD
nagD_1	Ribonucleotide monophosphatase NagD
nagZ	Beta-hexosaminidase
nagk	N-acetyl-D-glucosamine kinase
nahA	Beta-hexosaminidase
nahG	Salicylate hydroxylase
nahG_0	Salicylate hydroxylase
nahG_1	Salicylate hydroxylase
nahG_2	Salicylate hydroxylase
nahG_3	Salicylate hydroxylase
nahG_4	Salicylate hydroxylase
nahG_5	Salicylate hydroxylase
nak1	PAK-related kinase Nak1
nak1_1	Serine/threonine-protein kinase nak1
nak1_2	Serine/threonine-protein kinase nak1
nam1	MAM1 protein
nam8/mre2	NAM8/MRE2 protein
namA	NADPH dehydrogenase
nap1	nucleosome assembly protein Nap1
nap-1	large neutral amino acids transporter small subunit 2
nar1	Cytosolic Fe-S cluster assembly factor nar1
narfl	Cytosolic Fe-S cluster assembly factor narfl
nat1	arylamine N-acetyltransferase 1
nat2	acetyltransferase
nat8l	N-acetylaspartate synthetase
nbas	Neuroblastoma-amplified sequence
nbl1	Borealin homolog Nbl1
nbp35	Cytosolic Fe-S cluster assembly factor nbp35
nbs1	Mre11 complex subunit Nbs1
nca2	Nuclear control of ATPase protein 2
nca-1	calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type
nca-2	plasma membrane calcium-transporting ATPase 3
nca-3	calcium P-type ATPase
ncb2	Negative cofactor 2 complex subunit beta
ncd-2	Nitronate monooxygenase
ncd-2_0	Nitronate monooxygenase
ncd-2_1	Nitronate monooxygenase
ncd-2_2	Nitronate monooxygenase
ncl_0	Nucleolin
ncl_1	Nucleolin
ncl_2	Nucleolin
ncs1	Calcium-binding protein NCS-1
ncs2	Cytoplasmic tRNA 2-thiolation protein 2
ncsA_0	Calcium-binding protein NCSA
ncsA_1	Calcium-binding protein NCSA
ncstn	Nicastrin
ncw-1	non-anchored cell wall protein 1
ncw-2	non-anchored cell wall protein 2
ncw-3	non-anchored cell wall protein 3
ncw-4	non-anchored cell wall protein 4
ncw-5	non-anchored cell wall protein 5
ncw-6	non-anchored cell wall protein 6, variant 2
nd1	ND1 protein
nd1-i2	ND1-i2 protein
nd2	ND2 protein
nd3	NADH-ubiquinone oxidoreductase chain 3
nd4	ND4 protein
nd4L	NADH-ubiquinone oxidoreductase chain 4L
nd5	ND5 protein
nd5-i1	ND5-i1 protein
nd6	ND6 protein
nda2	tubulin alpha 1
nda3	tubulin beta Nda3
ndc80	spindle pole body protein Ndc80
nde1	Nuclear distribution protein nudE 1
nde-1	mitochondrial NADH dehydrogenase
nde-2	alternative NADH-dehydrogenase
nde-3	NAD(P)H dehydrogenase 3
ndh1	NAD-dependent dehydrogenase-like protein
ndi-1	pyridine nucleotide-disulfide oxidoreductase
ndk	Nucleoside diphosphate kinase
ndk1	nucleoside diphosphate kinase Ndk1
ndk-1	Nucleoside diphosphate kinase
ndor1	NADPH-dependent diflavin oxidoreductase 1
ndt80	NDT80 protein
ndufa4	Cytochrome c oxidase subunit NDUFA4
ndufa9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5
ndufaf7	NADH dehydrogenase [ubiquinone] complex I, assembly factor 7
ndx1_0	Diadenosine hexaphosphate hydrolase
ndx1_1	Diadenosine hexaphosphate hydrolase
ndx-3	Nudix hydrolase 3
ned1	lipin Ned1
ned1_0	Nuclear elongation and deformation protein 1
ned1_1	Nuclear elongation and deformation protein 1
ned8	ubiquitin-like protein modifier Ned8
ned-8	NEDD8 protein
neg-1	endo-1,6-beta-D-glucanase
neg-1_0	Endo-1,6-beta-D-glucanase
neg-1_1	Endo-1,6-beta-D-glucanase
nemA	N-ethylmaleimide reductase
nep1	NEDD8 protease Nep1
nep2	NEDD8 protease Nep2
nep-1_0	Neprilysin-1
nep-1_1	Neprilysin-1
nep-1_2	Neprilysin-1
nep-11	Neprilysin-11
nes	Lysophospholipid acyltransferase 5
new1	histone-like transcription factor and archael histone family protein
new2	sequence orphan
new9	sequence orphan
new10	enhancer of rudimentary homolog
new11	conserved gene with no initiator methionine
new12	sequence orphan
new13	conserved fungal protein of unknown function
new14	dubious
new16	Cytochrome c oxidase subunit 6B-like protein new16
new17	sequence orphan
new18	mitochondrial protein
new20	conserved eukaryotic protein
new25	sequence orphan
nfdA	N-substituted formamide deformylase
nfh-1	DNA damage checkpoint protein rad24, variant
nfh-2	14-3-3 family protein 7
ngdn	Neuroguidin
ngf-1	histone acetyltransferase GCN5
ngg1	SAGA complex subunit Ngg1
nhe-3	sodium/hydrogen exchanger 3
nhm1	m7GpppX diphosphatase
nhp2	box H/ACA snoRNP complex subunit Nhp2
nhp-1	Non-histone chromosomal protein 6
nhp-6	Non-histone chromosomal protein 6
nht1	Ino80 complex HMG box protein Nht1
nic1	NiCoT heavy metal ion transporter Nic1
nic-4	kynurenine-oxoglutarate transaminase 1
nic-5	nicotinamide mononucleotide adenylyl transferase
nic-6	Npt1p
nic-7	5'-methylthioadenosine phosphorylase
nic-8	isochorismatase family hydrolase
nicC	6-hydroxynicotinate 3-monooxygenase
nif1	Mitosis inhibitor nif1
niiA	Nitrite reductase [NAD(P)H]
nik1	histidine kinase
nik-2	two-component histidine kinase CHK-1, variant
nim-1	G2-specific protein kinase nimA
nimA	G2-specific protein kinase nimA
nimE	G2/mitotic-specific cyclin-B
nimT	M-phase inducer phosphatase
nimX	Cyclin-dependent kinase 1
nip1	Eukaryotic translation initiation factor 3 subunit C
nip7	60S ribosome subunit biogenesis protein nip7
nirA	Nitrogen assimilation transcription factor nirA 
nirA_0	Nitrogen assimilation transcription factor nirA
nirA_1	Nitrogen assimilation transcription factor nirA
nirA_2	Nitrogen assimilation transcription factor nirA
nit-2	nitrogen catabolic enzyme regulatory protein
nit-3	nitrate reductase
nit-4	nitrogen assimilation transcription factor nit-4
nit-4_0	Nitrogen assimilation transcription factor nit-4
nit-4_1	Nitrogen assimilation transcription factor nit-4
nit-4_2	Nitrogen assimilation transcription factor nit-4
nit-4_3	Nitrogen assimilation transcription factor nit-4
nit-4_4	Nitrogen assimilation transcription factor nit-4
nit-6	nitrite reductase
nit-10	nitrate transporter CRNA
nkin	Nkin protein
nkin-2	kinesin, variant
nlhH	Carboxylesterase NlhH
nma111	Pro-apoptotic serine protease nma111
nmd5	nonsense-mediated mRNA decay protein
nme6	Nucleoside diphosphate kinase 6
nmr	nitrogen metabolic regulation protein nmr
nmr-1	Nitrogen metabolic regulation protein 1
nmrA	Nitrogen metabolite repression protein nmrA
nmra1	NAD dependent epimerase/dehydratase 1
nmt1	Glycylpeptide N-tetradecanoyltransferase
nmt-1	Glycylpeptide N-tetradecanoyltransferase
nnf1	kinetochore protein Nnf1
nnrE	NAD(P)H-hydrate epimerase
nnt-1	Protein N-methyltransferase nnt1
nob1	20S-pre-rRNA D-site endonuclease nob1
noc3l	Nucleolar complex protein 3
nodC	N-acetylglucosaminyltransferase
nodG	Nodulation protein G
nog-2	Nucleolar GTP-binding protein 2
nol6	Nucleolar protein 6
nol9	Polynucleotide 5'-hydroxyl-kinase nol9
nop1	opsin protein
nop7	ribonucleoprotein complex binding
nop10	H/ACA ribonucleoprotein complex subunit 3
nop56	Nucleolar protein 56
nop58	nucleolar protein-like protein
nop-1	opsin-1
nop-58	Nucleolar protein 58
nor1	NADP-dependent oxidoreductases 1
nor2	NADP-dependent oxidoreductase 2
nor3	NADP-dependent oxidoreductase 3
nor-1	NADPH oxidase regulator NoxR
norA	Norsolorinic acid reductase
norB	aldo/keto reductase-like protein
nosip	Nitric oxide synthase-interacting protein
not3_0	General negative regulator of transcription subunit 3
not3_1	General negative regulator of transcription subunit 3
nots	gastricsin
novR	Decarboxylase NovR
nox-1	NADPH oxidase 1
nox-2	NADPH oxidase 2, variant
noxA	Superoxide-generating NADPH oxidase heavy chain subunit A
noxB	Superoxide-generating NADPH oxidase heavy chain subunit B
npa3	GTPase npa3
npc2	Phosphatidylglycerol/phosphatidylinositol transfer protein
npcC	Hydroxyquinol 1,2-dioxygenase
npd-1	FMN-dependent 2-nitropropane dioxygenase
npd-2	2-nitropropane dioxygenase family oxidoreductase
nphp3	Nephrocystin-3
npp106	nucleoporin Npp106
npr3	Nitrogen permease regulator 3
nps1	secondary metabolism protein
nps2	L-aminoadipate-semialdehyde dehydrogenase
nps4	NRPS-like protein
nps5	tridomain enzyme adenylation-thiolation-dehydrogenase
nps6	nonribosomal peptide synthetase
nps7	tridomain enzyme adenylation-thiolation-dehydrogenase
nps8	nonribosomal peptide synthetase
nps9	nonribosomal peptide synthetase
nps13	nonribosomal peptide synthetase
nr2c2ap	Nuclear receptor 2C2-associated protein
nramp1	Metal transporter nramp1
nrap1	nucleolar RNA-associated protein 1
nrc-1	MAPKK kinase
nrc-2	Serine/threonine-protein kinase nrc-2
nrc-2_0	Serine/threonine-protein kinase nrc-2
nrc-2_1	Serine/threonine-protein kinase nrc-2
nrc-2_2	Serine/threonine-protein kinase nrc-2
nrd1	Negative regulator of differentiation 1
nrd1_0	Negative regulator of differentiation 1
nrd1_1	Negative regulator of differentiation 1
nrf1	GTPase regulator Nrf1
nrfA	Nitrogen regulatory protein nrfA
nrk1	Nicotinamide riboside kinase
nrm1	negative regulator of MBF
nro1	Negative regulator of ofd1
nsa2	Ribosome biogenesis protein nsa2
nsa-2	Ribosome biogenesis protein nsa-2
nse1	Smc5-6 complex non-SMC subunit 1
nse2	Smc5-6 complex non-SMC subunit 2
nse3	Non-structural maintenance of chromosome element 3
nse4	non-structural maintenance of chromosome element 4
nse5	Smc5-6 complex non-SMC subunit Nse5
nse6	Smc5-6 complex non-SMC subunit Nse6
nsf1	vesicle fusion factor
nsk1	Clp1-interacting protein Nsk1
nsmce1	Non-structural maintenance of chromosomes element 1
nsp1	nucleoporin Nsp1
nst1	Stress response protein nst1
nst1_0	Stress response protein nst1
nst1_1	Stress response protein nst1
nst1_2	Stress response protein nst1
nst-1	Guanine nucleotide-binding protein-like 3
nst-2	NAD-dependent deacetylase sirtuin-2
nst-3	SIR2 family histone deacetylase
nst-4	Hst3p
nst-5	SIR2 family histone deacetylase
nst-6	NAD-dependent deacetylase sirtuin-5
nst-7	transcriptional regulator
nsun2	tRNA (cytosine(34)-C(5))-methyltransferase
nsun4	5-methylcytosine rRNA methyltransferase NSUN4
ntaA	Nitrilotriacetate monooxygenase component A
ntf2	nuclear transport factor 2
ntf-2	Nuclear transport factor 2
nth1	DNA endonuclease III
ntp1	alpha,alpha-trehalase Ntp1
nuc1	DNA-directed RNA polymerase I complex large subunit Nuc1
nuc2	anaphase-promoting complex subunit Apc3
nuc-1	Phosphorus acquisition-controlling protein
nuc-2	Ankyrin repeat protein nuc-2
nucS	Nuclease S1
nudA	Dynein heavy chain, cytoplasmic
nudC	Nuclear movement protein nudC (Nuclear distribution protein C) 
nudF	Nuclear distribution protein nudF 
nudF-1	Nuclear distribution protein nudF 1
nudG	Dynein light chain cytoplasmic
nudf1	Nuclear distribution protein
nudf-1	nuclear migration protein NudF-1
nuf2	spindle pole body protein Nuf2
nuo6.6	NADH:ubiquinone oxidoreductase 6.6kD subunit
nuo9.5	NADH:ubiquinone oxidoreductase 9.5kD subunit
nuo9.8	NADH:ubiquinone oxidoreductase 9.8 kDa subunit
nuo10.4	NADH:ubiquinone oxidoreductase 10.4kD subunit
nuo10.5	NUO
nuo10.6	NADH:ubiquinone oxidoreductase 10.6kD subunit
nuo11.5	NADH:ubiquinone oxidoreductase 11.5kD subunit
nuo11.6	NADH:ubiquinone oxidoreductase 11.6kD subunit
nuo12.3	NADH:ubiquinone oxidoreductase 12.3kD subunit
nuo13.4	NADH:ubiquinone oxidoreductase 13.4kD subunit, variant
nuo14	NADH:ubiquinone oxidoreductase 14kD subunit
nuo14.8	NADH:ubiquinone oxidoreductase 14.8kD subunit
nuo17.8	NADH:ubiquinone oxidoreductase 17.8kD subunit
nuo18.4	NADH:ubiquinone oxidoreductase 18.4kD subunit
nuo19.3	mitochondrial NADH-ubiquinone oxidoreductase 20 kDa subunit
nuo20.1	NADH:ubiquinone oxidoreductase 20.1kD subunit
nuo20.8	NADH:ubiquinone oxidoreductase 20.8kD subunit
nuo20.9	NADH:ubiquinone oxidoreductase 20.9kD subunit
nuo21	NADH:ubiquinone oxidoreductase 21kD subunit
nuo21.3a	NADH:ubiquinone oxidoreductase 21.3kD subunit A
nuo21.3b	NADH:ubiquinone oxidoreductase 21.3kD subunit B
nuo21.3c	NADH-quinone oxidoreductase chain I, variant
nuo24	NADH:ubiquinone oxidoreductase 24
nuo29.9	NADH:ubiquinone oxidoreductase
nuo30.4	NADH:ubiquinone oxidoreductase 30.4 kDa subunit
nuo40	NADH-ubiquinone oxidoreductase 40 kDa subunit
nuo49	NADH:ubiquinone oxidoreductase 49kD subunit
nuo51	NADH2 dehydrogenase flavoprotein 1
nuo78	NADH:ubiquinone oxidoreductase 78
nuo-10.5	NADH-ubiquinone oxidoreductase 10.5 kDa subunit
nuo-12	Acyl carrier protein mitochondrial
nuo-12.3	NADH-ubiquinone oxidoreductase subunit, mitochondrial
nuo-12.3_0	NADH-ubiquinone oxidoreductase subunit, mitochondrial
